iter	Passed	Remaining
0	1	141
1	2	144
2	4	155
3	5	142
4	8	156
5	9	149
6	11	146
7	12	140
8	13	135
9	14	131
10	15	128
11	17	125
12	18	123
13	20	126
14	21	123
15	23	120
16	24	118
17	25	116
18	26	113
19	27	111
20	29	109
21	31	110
22	32	108
23	33	106
24	34	104
25	35	101
26	36	99
27	37	97
28	39	95
29	40	94
30	41	92
31	42	91
32	43	89
33	45	87
34	46	86
35	47	84
36	48	82
37	49	80
38	50	79
39	51	77
40	53	76
41	53	73
42	54	72
43	55	70
44	56	69
45	58	68
46	59	66
47	60	65
48	61	63
49	63	63
50	64	61
51	65	60
52	65	58
53	66	57
54	67	55
55	68	53
56	69	52
57	70	50
58	71	49
59	71	47
60	72	46
61	73	45
62	75	44
63	75	42
64	76	41
65	77	40
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	85	29
74	86	28
75	87	27
76	88	26
77	90	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	107	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
